id,service_id,salon_id,service_name,service_num,department_name,service_class_name,goods_id,goods_name,balance,consume_unit,consume_unit_id,unit,material_raw_json
181273,118254,1467,【服务】二氧化碳激光点阵祛疤痕,018,皮肤科,光电项目,,,,,,,
948597,405793,1467,【服务】舒敏专家补水导入,FW20241021752394150,皮肤科,光电项目,,,,,,,
813695,368524,1467,【服务】英诺水动力2号瓶,FW20240414775160990,皮肤科,中胚层项目,274516,英诺水动力- ②医用透明质 酸钠修护敷料_ II 型（5ml*5瓶）,1,支,0,支,"{""id"":11206,""service_id"":368524,""goods_id"":274516,""goods_name"":""英诺水动力- ②医用透明质 酸钠修护敷料_ II 型（5ml*5瓶）"",""balance"":1,""consume_unit"":""支"",""consume_unit_id"":0,""unit"":""支"",""ratio"":1,""spu_id"":274516}"
1494987,515617,1467,【服务】国产唾液腺肉毒注射,FW20260107098927834,无创科,肉毒素治疗,,,,,,,
1478804,513629,1467,【服务】眉心脱毛,FW20251228698034400,皮肤科,脱毛项目,,,,,,,
870688,383365,1467,【服务】伊肤泉小绿瓶AB瓶,FW20240629745221168,皮肤科,中胚层项目,283713,伊肤泉小绿瓶,1,件,0,件,"{""id"":34043,""service_id"":383365,""goods_id"":283713,""goods_name"":""伊肤泉小绿瓶"",""balance"":1,""consume_unit"":""件"",""consume_unit_id"":0,""unit"":""件"",""ratio"":1,""spu_id"":283713}"
872303,384141,1467,【服务】欧洲之星（双下巴）,FW20240703333815674,皮肤科,光电项目,,,,,,,
1470930,512975,1467,【服务】润致瑅透,FW20251223857314370,皮肤科,中胚层项目,274511,杜莎之谜聚乙二醇医用敷料（小黑5.0ml）,1,支,0,支,"{""id"":196481,""service_id"":512975,""goods_id"":274511,""goods_name"":""杜莎之谜聚乙二醇医用敷料（小黑5.0ml）"",""balance"":1,""consume_unit"":""支"",""consume_unit_id"":0,""unit"":""支"",""ratio"":1,""spu_id"":274511}"
103978,68353,1467,【服务】痤疮-粉刺针清理（清痘/消炎）,pfk010,皮肤科,小项目,,,,,,,
805767,365058,1467,【服务】背部脱毛,FW20240329369918220,皮肤科,脱毛项目,,,,,,,
1465176,511925,1467,【服务】进口颏肌,FW20251218088552462,无创科,肉毒素治疗,,,,,,,
171397,112623,1467,【服务】黄金射频微针有针,0408,皮肤科,光电项目,,,,,,,
805802,365093,1467,【服务】进口botox除皱单部位,FW20240329664004916,无创科,肉毒素治疗,,,,,,,
650351,306016,1467,嗨体祛颈纹1.5ml+2.5ml,ZBWC003,无创科,玻尿酸（塑形填充）,274195,注射用透明酸钠复合溶液（嗨体1.5ml/支）,1,支,0,支,"{""id"":11363,""service_id"":306016,""goods_id"":274195,""goods_name"":""注射用透明酸钠复合溶液（嗨体1.5ml/支）"",""balance"":1,""consume_unit"":""支"",""consume_unit_id"":0,""unit"":""支"",""ratio"":1,""spu_id"":274195}"
650351,306016,1467,嗨体祛颈纹1.5ml+2.5ml,ZBWC003,无创科,玻尿酸（塑形填充）,274523,注射用透明酸钠复合溶液（嗨体2.5ml/支）,1,支,3243,盒,"{""id"":11364,""service_id"":306016,""goods_id"":274523,""goods_name"":""注射用透明酸钠复合溶液（嗨体2.5ml/支）"",""balance"":1,""consume_unit"":""支"",""consume_unit_id"":3243,""unit"":""盒"",""ratio"":1,""spu_id"":274523}"
805796,365087,1467,【服务】国产衡力瘦脸针100u,FW20240329471474636,无创科,肉毒素治疗,,,,,,,
805781,365072,1467,【服务】水光嗨体2.5ml,FW20240329612182146,皮肤科,中胚层项目,274523,注射用透明酸钠复合溶液（嗨体2.5ml/支）,1,盒,0,盒,"{""id"":11250,""service_id"":365072,""goods_id"":274523,""goods_name"":""注射用透明酸钠复合溶液（嗨体2.5ml/支）"",""balance"":1,""consume_unit"":""盒"",""consume_unit_id"":0,""unit"":""盒"",""ratio"":1,""spu_id"":274523}"
1337627,489372,1467,【服务】润百颜元气针2.5ml,FW20250928939461407,皮肤科,中胚层项目,314441,注射用透明酸钠复合溶液（冭活泡泡2.5ml/支）,1,盒,0,盒,"{""id"":184135,""service_id"":489372,""goods_id"":314441,""goods_name"":""注射用透明酸钠复合溶液（冭活泡泡2.5ml/支）"",""balance"":1,""consume_unit"":""盒"",""consume_unit_id"":0,""unit"":""盒"",""ratio"":1,""spu_id"":314441}"
